Algorithm,Nodes,EdgeProb,Seed,EventCount,SimTime,MessageCount
FastMIS,100,0.2,0,4419,0.19580908732,4637
FastMIS,100,0.2,1,4361,0.199880641699,4574
SlowMIS,100,0.2,0,1101,0.09580908732,1203
SlowMIS,100,0.2,1,1220,0.099880641699,1331
FastMIS,100,0.5,0,10314,0.19580908732,10520
FastMIS,100,0.5,1,10246,0.199880641699,10452
SlowMIS,100,0.5,0,2643,0.09580908732,2745
SlowMIS,100,0.5,1,2730,0.099880641699,2835
FastMIS,100,0.8,0,16180,0.19580908732,16383
FastMIS,100,0.8,1,16142,0.199880641699,16345
SlowMIS,100,0.8,0,4035,0.09580908732,4135
SlowMIS,100,0.8,1,4205,0.099880641699,4308
FastMIS,1000,0.2,0,407238,0.199995635031,409262
FastMIS,1000,0.2,1,406796,0.199925567443,408819
SlowMIS,1000,0.2,0,101874,0.099995635031,102878
SlowMIS,1000,0.2,1,103031,0.099925567443,104042
FastMIS,1000,0.5,0,1005035,0.199995635031,1007045
FastMIS,1000,0.5,1,1005250,0.199925567443,1007261
SlowMIS,1000,0.5,0,252045,0.099995635031,253049
SlowMIS,1000,0.5,1,253481,0.099925567443,254489
FastMIS,1000,0.8,0,1604280,0.199995635031,1606285
FastMIS,1000,0.8,1,1604166,0.199925567443,1606170
SlowMIS,1000,0.8,0,401927,0.099995635031,402929
SlowMIS,1000,0.8,1,402223,0.099925567443,403225
FastMIS,2000,0.2,0,1610817,0.199907693523,1614843
FastMIS,2000,0.2,1,1611503,0.199999302463,1615528
SlowMIS,2000,0.2,0,404462,0.099907693523,406471
SlowMIS,2000,0.2,1,402581,0.099999302463,404584
FastMIS,2000,0.5,0,4009455,0.199907693523,4013466
FastMIS,2000,0.5,1,4008545,0.199999302463,4012556
SlowMIS,2000,0.5,0,1002803,0.099907693523,1004806
SlowMIS,2000,0.5,1,1000392,0.099999302463,1002392
FastMIS,2000,0.8,0,6406877,0.199907693523,6410882
FastMIS,2000,0.8,1,6408858,0.199999302463,6412863
SlowMIS,2000,0.8,0,1600711,0.099907693523,1602711
SlowMIS,2000,0.8,1,1601210,0.099999302463,1603210
